DATE,GDP
1/1/48,265.742
1/4/48,272.567
1/7/48,279.196
1/10/48,280.366
1/1/49,275.034
1/4/49,271.351
1/7/49,272.889
1/10/49,270.627
1/1/50,280.828
1/4/50,290.383
1/7/50,308.153
1/10/50,319.945
1/1/51,336
1/4/51,344.09
1/7/51,351.385
1/10/51,356.178
1/1/52,359.82
1/4/52,361.03
1/7/52,367.701
1/10/52,380.812
1/1/53,387.98
1/4/53,391.749
1/7/53,391.171
1/10/53,385.97
1/1/54,385.345
1/4/54,386.121
1/7/54,390.996
1/10/54,399.734
1/1/55,413.073
1/4/55,421.532
1/7/55,430.221
1/10/55,437.092
1/1/56,439.746
1/4/56,446.01
1/7/56,451.191
1/10/56,460.463
1/1/57,469.779
1/4/57,472.025
1/7/57,479.49
1/10/57,474.864
1/1/58,467.54
1/4/58,471.978
1/7/58,485.841
1/10/58,499.555
1/1/59,510.33
1/4/59,522.653
1/7/59,525.034
1/10/59,528.6
1/1/60,542.648
1/4/60,541.08
1/7/60,545.604
1/10/60,540.197
1/1/61,545.018
1/4/61,555.545
1/7/61,567.664
1/10/61,580.612
1/1/62,594.013
1/4/62,600.366
1/7/62,609.027
1/10/62,612.28
1/1/63,621.672
1/4/63,629.752
1/7/63,644.444
1/10/63,653.938
1/1/64,669.822
1/4/64,678.674
1/7/64,692.031
1/10/64,697.319
1/1/65,717.79
1/4/65,730.191
1/7/65,749.323
1/10/65,771.857
1/1/66,795.734
1/4/66,804.981
1/7/66,819.638
1/10/66,833.302
1/1/67,844.17
1/4/67,848.983
1/7/67,865.233
1/10/67,881.439
1/1/68,909.387
1/4/68,934.344
1/7/68,950.825
1/10/68,968.03
1/1/69,993.337
1/4/69,1009.02
1/7/69,1029.956
1/10/69,1038.147
1/1/70,1051.2
1/4/70,1067.375
1/7/70,1086.059
1/10/70,1088.608
1/1/71,1135.156
1/4/71,1156.271
1/7/71,1177.675
1/10/71,1190.297
1/1/72,1230.609
1/4/72,1266.369
1/7/72,1290.566
1/10/72,1328.904
1/1/73,1377.49
1/4/73,1413.887
1/7/73,1433.838
1/10/73,1476.289
1/1/74,1491.209
1/4/74,1530.056
1/7/74,1560.026
1/10/74,1599.679
1/1/75,1616.116
1/4/75,1651.853
1/7/75,1709.82
1/10/75,1761.831
1/1/76,1820.487
1/4/76,1852.332
1/7/76,1886.558
1/10/76,1934.273
1/1/77,1988.648
1/4/77,2055.909
1/7/77,2118.473
1/10/77,2164.27
1/1/78,2202.76
1/4/78,2331.633
1/7/78,2395.053
1/10/78,2476.949
1/1/79,2526.61
1/4/79,2591.247
1/7/79,2667.565
1/10/79,2723.883
1/1/80,2789.842
1/4/80,2797.352
1/7/80,2856.483
1/10/80,2985.557
1/1/81,3124.206
1/4/81,3162.532
1/7/81,3260.609
1/10/81,3280.818
1/1/82,3274.302
1/4/82,3331.972
1/7/82,3366.322
1/10/82,3402.561
1/1/83,3473.413
1/4/83,3578.848
1/7/83,3689.179
1/10/83,3794.706
1/1/84,3908.054
1/4/84,4009.601
1/7/84,4084.25
1/10/84,4148.551
1/1/85,4230.168
1/4/85,4294.887
1/7/85,4386.773
1/10/85,4444.094
