DATE,HOANBS
1948-01-01,46.720
1948-04-01,46.700
1948-07-01,47.029
1948-10-01,46.597
1949-01-01,45.813
1949-04-01,45.059
1949-07-01,44.573
1949-10-01,44.383
1950-01-01,44.731
1950-04-01,45.837
1950-07-01,47.279
1950-10-01,47.716
1951-01-01,48.518
1951-04-01,48.907
1951-07-01,48.438
1951-10-01,48.462
1952-01-01,48.775
1952-04-01,48.570
1952-07-01,48.921
1952-10-01,50.219
1953-01-01,50.735
1953-04-01,50.828
1953-07-01,50.329
1953-10-01,49.543
1954-01-01,48.877
1954-04-01,48.511
1954-07-01,48.323
1954-10-01,48.922
1955-01-01,49.706
1955-04-01,50.359
1955-07-01,50.887
1955-10-01,51.498
1956-01-01,51.813
1956-04-01,51.924
1956-07-01,51.714
1956-10-01,52.001
1957-01-01,52.051
1957-04-01,51.939
1957-07-01,51.689
1957-10-01,50.623
1958-01-01,49.490
1958-04-01,48.763
1958-07-01,49.348
1958-10-01,50.084
1959-01-01,51.055
1959-04-01,52.021
1959-07-01,51.868
1959-10-01,51.883
1960-01-01,52.208
1960-04-01,52.295
1960-07-01,52.004
1960-10-01,51.529
1961-01-01,51.232
1961-04-01,51.114
1961-07-01,51.416
1961-10-01,52.067
1962-01-01,52.260
1962-04-01,52.881
1962-07-01,52.773
1962-10-01,52.449
1963-01-01,52.764
1963-04-01,53.102
1963-07-01,53.246
1963-10-01,53.661
1964-01-01,54.773
1964-04-01,55.014
1964-07-01,55.368
1964-10-01,55.907
1965-01-01,56.771
1965-04-01,57.335
1965-07-01,57.477
1965-10-01,58.024
1966-01-01,58.854
1966-04-01,59.430
1966-07-01,59.709
1966-10-01,59.561
1967-01-01,59.496
1967-04-01,59.139
1967-07-01,59.337
1967-10-01,59.607
1968-01-01,59.714
1968-04-01,60.285
1968-07-01,60.711
1968-10-01,61.088
1969-01-01,61.660
1969-04-01,62.231
1969-07-01,62.537
1969-10-01,62.360
1970-01-01,62.116
1970-04-01,61.309
1970-07-01,61.008
1970-10-01,60.546
1971-01-01,60.826
1971-04-01,61.027
1971-07-01,61.030
1971-10-01,61.683
1972-01-01,62.378
1972-04-01,62.832
1972-07-01,63.189
1972-10-01,63.854
1973-01-01,64.810
1973-04-01,65.487
1973-07-01,65.929
1973-10-01,66.260
1974-01-01,65.986
1974-04-01,66.165
1974-07-01,65.941
1974-10-01,64.864
1975-01-01,62.855
1975-04-01,62.281
1975-07-01,62.847
1975-10-01,63.918
1976-01-01,64.969
1976-04-01,65.005
1976-07-01,65.265
1976-10-01,65.615
1977-01-01,66.308
1977-04-01,67.565
1977-07-01,68.291
1977-10-01,68.965
1978-01-01,69.285
1978-04-01,71.302
1978-07-01,71.907
1978-10-01,72.776
1979-01-01,73.300
1979-04-01,73.533
1979-07-01,74.205
1979-10-01,74.375
1980-01-01,74.195
1980-04-01,72.855
1980-07-01,72.524
1980-10-01,73.498
1981-01-01,73.922
1981-04-01,73.979
1981-07-01,73.937
1981-10-01,73.615
1982-01-01,72.377
1982-04-01,72.710
1982-07-01,72.191
1982-10-01,71.518
1983-01-01,71.953
1983-04-01,72.792
1983-07-01,74.247
1983-10-01,75.640
1984-01-01,77.088
1984-04-01,78.092
1984-07-01,78.431
1984-10-01,78.942
1985-01-01,79.573
1985-04-01,80.115
1985-07-01,80.341
1985-10-01,80.743
1986-01-01,80.627
1986-04-01,80.409
1986-07-01,80.815
1986-10-01,81.424
1987-01-01,82.438
1987-04-01,82.910
1987-07-01,83.488
1987-10-01,84.350
1988-01-01,84.428
1988-04-01,85.615
1988-07-01,85.845
1988-10-01,86.809
1989-01-01,87.679
1989-04-01,88.018
1989-07-01,88.219
1989-10-01,88.224
1990-01-01,88.482
1990-04-01,88.098
1990-07-01,87.648
1990-10-01,87.272
1991-01-01,86.418
1991-04-01,85.875
1991-07-01,85.776
1991-10-01,85.631
1992-01-01,85.126
1992-04-01,85.457
1992-07-01,85.602
1992-10-01,86.153
1993-01-01,86.916
