DATE,OPHNFB
1/1/48,24.349
1/4/48,24.287
1/7/48,24.312
1/10/48,24.416
1/1/49,24.663
1/4/49,24.919
1/7/49,25.513
1/10/49,25.377
1/1/50,26.244
1/4/50,26.568
1/7/50,27.145
1/10/50,27.194
1/1/51,27.227
1/4/51,27.144
1/7/51,27.747
1/10/51,27.828
1/1/52,27.97
1/4/52,27.914
1/7/52,27.777
1/10/52,28.364
1/1/53,28.612
1/4/53,28.679
1/7/53,28.798
1/10/53,28.696
1/1/54,28.756
1/4/54,28.956
1/7/54,29.479
1/10/54,29.811
1/1/55,30.399
1/4/55,30.503
1/7/55,30.613
1/10/55,30.502
1/1/56,30.135
1/4/56,30.285
1/7/56,30.28
1/10/56,30.603
1/1/57,30.954
1/4/57,30.832
1/7/57,31.266
1/10/57,31.371
1/1/58,30.94
1/4/58,31.532
1/7/58,32.125
1/10/58,32.671
1/1/59,32.71
1/4/59,33.027
1/7/59,33.072
1/10/59,32.965
1/1/60,33.734
1/4/60,33.209
1/7/60,33.407
1/10/60,32.964
1/1/61,33.391
1/4/61,34.27
1/7/61,34.853
1/10/61,35.151
1/1/62,35.727
1/4/62,35.584
1/7/62,36.176
1/10/62,36.443
1/1/63,36.549
1/4/63,36.826
1/7/63,37.73
1/10/63,37.703
1/1/64,37.939
1/4/64,38.147
1/7/64,38.541
1/10/64,38.17
1/1/65,38.718
1/4/65,38.896
1/7/65,39.687
1/10/65,40.377
1/1/66,40.928
1/4/66,40.645
1/7/66,40.778
1/10/66,41.03
1/1/67,41.354
1/4/67,41.507
1/7/67,41.719
1/10/67,41.839
1/1/68,42.774
1/4/68,43.173
1/7/68,43.192
1/10/68,43.087
1/1/69,43.43
1/4/69,43.075
1/7/69,43.122
1/10/69,42.906
1/1/70,43.037
1/4/70,43.666
1/7/70,44.351
1/10/70,43.943
1/1/71,45.245
1/4/71,45.373
1/7/71,45.804
1/10/71,45.407
1/1/72,46.117
1/4/72,47.027
1/7/72,47.299
1/10/72,47.701
1/1/73,48.781
1/4/73,48.802
1/7/73,48.343
1/10/73,48.041
1/1/74,47.925
1/4/74,47.78
1/7/74,47.289
1/10/74,47.712
1/1/75,48.068
1/4/75,48.834
1/7/75,49.431
1/10/75,49.485
1/1/76,50.219
1/4/76,50.683
1/7/76,50.805
1/10/76,50.954
1/1/77,51.282
1/4/77,51.492
1/7/77,52.032
1/10/77,51.365
1/1/78,51.389
1/4/78,52.405
1/7/78,52.435
1/10/78,52.777
1/1/79,52.297
1/4/79,52.2
1/7/79,52.133
1/10/79,52.07
1/1/80,52.317
1/4/80,51.77
1/7/80,51.975
1/10/80,52.502
1/1/81,53.31
1/4/81,52.622
1/7/81,53.117
1/10/81,52.559
1/1/82,52.303
1/4/82,52.314
1/7/82,52.405
1/10/82,52.844
1/1/83,53.532
1/4/83,54.692
1/7/83,54.944
1/10/83,55.24
1/1/84,55.451
1/4/84,55.779
1/7/84,56.025
1/10/84,56.087
1/1/85,56.254
1/4/85,56.427
1/7/85,57.144
1/10/85,57.374
1/1/86,58.056
1/4/86,58.514
1/7/86,58.765
1/10/86,58.643
1/1/87,58.373
1/4/87,58.764
1/7/87,58.772
1/10/87,59.35
1/1/88,59.56
1/4/88,59.715
1/7/88,59.87
1/10/88,60.011
1/1/89,60.041
1/4/89,60.226
1/7/89,60.513
1/10/89,60.52
1/1/90,61.086
1/4/90,61.507
1/7/90,61.7
1/10/90,61.061
1/1/91,61.249
1/4/91,62.247
1/7/91,62.78
1/10/91,63.075
1/1/92,64.325
1/4/92,64.872
1/7/92,65.454
1/10/92,65.846
1/1/93,65.279
1/4/93,64.902
1/7/93,65.18
1/10/93,65.433
1/1/94,65.619
1/4/94,65.677
1/7/94,65.306
1/10/94,65.991
1/1/95,66.04
1/4/95,66.348
1/7/95,66.342
1/10/95,66.708
1/1/96,67.122
1/4/96,67.775
1/7/96,68.02
1/10/96,68.081
1/1/97,67.936
1/4/97,68.937
1/7/97,69.501
