DATE,PCESV
1948-01-01,65.279
1948-04-01,66.954
1948-07-01,68.33
1948-10-01,69.271
1949-01-01,69.664
1949-04-01,70.164
1949-07-01,70.237
1949-10-01,70.944
1950-01-01,72.12
1950-04-01,74.219
1950-07-01,76.518
1950-10-01,78.002
1951-01-01,81.603
1951-04-01,82.763
1951-07-01,84.252
1951-10-01,85.745
1952-01-01,87.431
1952-04-01,89.48
1952-07-01,91.612
1952-10-01,93.616
1953-01-01,95.516
1953-04-01,97.386
1953-07-01,99.247
1953-10-01,99.47
1954-01-01,100.982
1954-04-01,102.915
1954-07-01,104.874
1954-10-01,106.598
1955-01-01,108.459
1955-04-01,109.634
1955-07-01,111.288
1955-10-01,114.179
1956-01-01,115.94
1956-04-01,117.723
1956-07-01,119.958
1956-10-01,122.272
1957-01-01,123.876
1957-04-01,125.528
1957-07-01,127.521
1957-10-01,129.85
1958-01-01,130.63
1958-04-01,133.0
1958-07-01,135.471
1958-10-01,137.049
1959-01-01,139.726
1959-04-01,142.888
1959-07-01,146.201
1959-10-01,149.277
1960-01-01,151.304
1960-04-01,153.813
1960-07-01,154.623
1960-10-01,156.921
1961-01-01,158.878
1961-04-01,161.891
1961-07-01,163.156
1961-10-01,166.742
1962-01-01,169.287
1962-04-01,172.666
1962-07-01,174.806
1962-10-01,177.594
1963-01-01,179.236
1963-04-01,181.728
1963-07-01,185.526
1963-10-01,189.031
1964-01-01,192.935
1964-04-01,196.604
1964-07-01,200.168
1964-10-01,203.811
1965-01-01,207.035
1965-04-01,211.056
1965-07-01,215.035
1965-10-01,220.065
1966-01-01,223.73
1966-04-01,228.23
1966-07-01,232.198
1966-10-01,237.04
1967-01-01,240.841
1967-04-01,244.953
1967-07-01,250.241
1967-10-01,254.743
1968-01-01,261.903
1968-04-01,269.161
1968-07-01,275.736
1968-10-01,282.144
1969-01-01,288.161
1969-04-01,295.673
1969-07-01,302.01
1969-10-01,309.998
1970-01-01,317.59
1970-04-01,324.016
1970-07-01,331.755
1970-10-01,338.361
1971-01-01,345.307
1971-04-01,353.404
1971-07-01,361.732
1971-10-01,370.843
1972-01-01,381.204
1972-04-01,388.996
1972-07-01,398.123
1972-10-01,409.029
1973-01-01,417.739
1973-04-01,427.847
1973-07-01,438.16
1973-10-01,448.011
1974-01-01,456.362
1974-04-01,471.822
1974-07-01,485.284
1974-10-01,501.022
1975-01-01,517.197
1975-04-01,532.041
1975-07-01,544.44
1975-10-01,563.172
1976-01-01,579.174
1976-04-01,590.571
1976-07-01,608.353
1976-10-01,627.345
1977-01-01,647.814
1977-04-01,663.054
1977-07-01,683.003
1977-10-01,700.494
1978-01-01,724.811
